coordenador_projeto_pesquisa,unidade_coordenador_projeto,status_projeto_pesquisa,codigo_projeto_pesquisa,data_inicio_projeto,data_fim_projeto,grande_area,area,subarea,titulo_projeto_pesquisa
CLAUDIO ANDRE BARBOSA DE LIRA,FACULDADE DE EDUCAÇÃO FISICA E DANÇA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03159-2019,18/01/2019,18/01/2023,Ciências da Saúde,Educação Física,,INFLUÊNCIA DO EXERGAME ZUMBA® FITNESS SOBRE OS NÍVEIS DE ANSIEDADE-ESTADO DE MULHERES JOVENS: EFEITO DA DURAÇÃO E DA INTENSIDADE DO EXERCÍCIO
MARCELO FOUAD RABAHI,FACULDADE DE MEDICINA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI0320-2016,01/03/2016,31/12/2023,Ciências da Saúde,Medicina,Clínica Médica,PERCEPÇÃO DO SONO EM INDIVÍDUOS SUBMETIDOS À POLISSONOGRAFIA 
MARA RUBIA DA ROCHA,ESCOLA DE AGRONOMIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03234-2019,01/01/2019,31/12/2023,Ciências Agrárias,Agronomia,Fitossanidade,FUNGO ORQUIDOIDE MICORRÍZICO Waitea circinata COMO ALTERNATIVA DE MANEJO DO NEMATOIDE Heterodera glycines NA CULTURA DA SOJA 
EDEMILSON CARDOSO DA CONCEICAO,FACULDADE DE FARMÁCIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03238-2019,01/03/2019,01/03/2023,Ciências da Saúde,Farmácia,Farmacotecnia,"DESENVOLVIMENTO DE AGENTE FOTOPROTETOR CUTÂNEO (PROTETOR SOLAR) A PARTIR DE EXTRATO DE MATÉRIA PRIMA VEGETAL DA CAATINGA (FOLHAS E TALOS DE Passiflora Cincinnata Mast. (Passifloraceae), COM POTENCIAL FATOR DE PROTEÇÃO NATURAL E ATIVIDADE ANTIOXIDANTE"
CINTIA SILVA MINAFRA E REZENDE,ESCOLA DE VETERINÁRIA E ZOOTECNIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03269-2018,01/05/2018,30/04/2023,Ciências Agrárias,Medicina Veterinária,Inspeção de Produtos de Origem Animal,GENES DE VIRULÊNCIA E RASTREAMENTO MOLECULAR EM ISOLADOS DE Salmonella enterica OBTIDOS DE FÁBRICAS DE RAÇÕES PARA AVES
CINTIA SILVA MINAFRA E REZENDE,ESCOLA DE VETERINÁRIA E ZOOTECNIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03271-2019,13/02/2019,31/01/2023,Ciências Agrárias,Medicina Veterinária,Inspeção de Produtos de Origem Animal,PERFIL DE VIRULÊNCIA E RESISTÊNCIA DE Salmonella enterica DE PESCADO
HUGO ALEXANDRE DANTAS DO NASCIMENTO,INSTITUTO DE INFORMÁTICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03276-2018,01/10/2018,31/12/2023,Ciências Exatas e da Terra,Ciência da Computação,,Inter-relação entre Estados Mentais e Cores e Sons Percebidos por Meio de Feedback Contínuo
GRAZIELE ALVES AMARAL,UAE REJ CIÊNCIAS HUMANAS E LETRAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03307-2019,25/02/2019,30/12/2023,Ciências Humanas,Psicologia,Psicologia do Trabalho e Organizacional,Escuta Clínica do sofrimento no trabalho
JONATHAS XAVIER PEREIRA,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03314-2019,01/03/2019,31/12/2023,Ciências Biológicas,Morfologia,Citologia e Biologia Celular,Melanoma Experimental: Bloqueio Concomitante de 3 Alvos Moleculares
RAPHAELLA BARBOSA MEIRELLES BARTOLI,UNID. ACAD. ESP/CIENCIAS AGRARIAS-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03317-2018,15/01/2018,15/12/2023,Ciências Agrárias,Medicina Veterinária,Medicina Veterinária Preventiva,A ATUAÇÃO DE MÉDICOS VETERINÁRIOS NA CAPACITAÇÃO DE AGENTES COMUNITÁRIOS DE SAÚDE E DE ENDEMIAS NO MUNICÍPIO DE JATAÍ-GO
CAMILA CARDOSO CAIXETA,FACULDADE DE ENFERMAGEM,AGUARDANDO CEP/CEUA/CBIO,PI03319-2019,11/03/2019,29/12/2023,Ciências da Saúde,Enfermagem,Enfermagem Psiquiátrica,AÇÕES DE CUIDADO E PREVENÇÃO AO SUICÍDIO EM INDÍGENAS 
DEIVID LOPES MACHADO,UNID. ACAD. ESP/CIENCIAS AGRARIAS-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03330-2019,01/03/2019,31/07/2023,Ciências Agrárias,Recursos Florestais e Engenharia Florestal,Conservação da Natureza,SUPLANTANDO OS FILTROS ECOLÓGICOS DE ESTABELECIMENTO E DESENVOLVIMENTO DE ESPÉCIES ARBÓREAS EM PLANTIOS DE RESTAURAÇÃO ECOLÓGICA
ANA LORYM SOARES DE VASCONCELOS,UAE REJ CIÊNCIAS HUMANAS E LETRAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03355-2019,01/02/2019,30/09/2023,Ciências Humanas,História,Teoria e Filosofia da História,Literatura e historicidade: crítica à modernidade historicista e emergência de temporalidades pós-utópicas em romances distópicos contemporâneos 
FREDERICO GEMESIO LEMOS,UNID. ACAD. ESP/BIOTECNOLOGIA - CATALAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03379-2018,01/03/2018,31/12/2023,Ciências Biológicas,Ecologia,Ecologia Aplicada,Fatores determinantes para a presença de Caiman latirostris (Crocodylia: Alligatoridae) em lagoas no Sudeste de Goiás
ANA PAULA FREITAS VILELA BOAVENTURA,UNID. ACAD. ESP/CIENCIAS EXATAS - JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03419-2019,01/04/2019,01/09/2023,Ciências Exatas e da Terra,Ciência da Computação,Metodologia e Técnicas da Computação,Comparação entre técnicas de realce de imagens obtidas por VANTs para identificação de fitossanidade em lavouras de soja
MARCOS ANTONIO DE MENEZES,UAE REJ CIÊNCIAS HUMANAS E LETRAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03433-2019,26/03/2019,31/07/2023,Ciências Humanas,História,História do Brasil,Imagens urbanas de Goyaz: olhares sobre as narrativas dos naturalistas-viajantes do século XIX.
MARINALDO DIVINO RIBEIRO,PRÓ-REITORIA DE PESQUISA E INOVAÇÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03452-2019,28/03/2019,31/12/2023,Ciências Agrárias,Zootecnia,Nutrição e Alimentação Animal,Óleo de baru na alimentação de ovinos
NADIA DO LAGO COSTA,FACULDADE DE ODONTOLOGIA,PRORROGAÇÃO PENDENTE COORD. PESQUISA,PI03466-2019,29/03/2019,31/07/2023,Ciências da Saúde,Odontologia,Clínica Odontológica,"AVALIAÇÃO DOS NÍVEIS SÉRICOS DE VITAMINA D3 [1,25 (OH)2] EM PACIENTES COM LÍQUEN PLANO ORAL E SUA ASSOCIAÇÃO COM A SEVERIDADE DESTA DOENÇA"
REGIS DE CASTRO FERREIRA,FACULDADE DE ARTES VISUAIS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03471-2019,01/04/2019,31/03/2023,Ciências Agrárias,Engenharia Agrícola,Construções Rurais e Ambiência,"Bioconstruindo: Adequação, Sustentabilidade e Inovação"
NAIARA CAIXETA DA SILVA,ESCOLA DE VETERINÁRIA E ZOOTECNIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03472-2019,01/04/2019,31/10/2023,Ciências Agrárias,Zootecnia,Nutrição e Alimentação Animal,Sistemas de indicadores para a determinação de fluxo de ruminal de amido e diferentes técnicas para a determinação de digestibilidade no trato digestivo total em bovinos recebendo milho com diferentes processamentos
LILIAN CARLA CARNEIRO,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA,FINALIZADO,PI03474-2018,01/08/2018,31/12/2023,Ciências da Saúde,Saúde Coletiva,Saúde Pública,"RASTREAMENTO DOS TIPOS VIRAIS CHIKUNGUNYA, DENGUE E ZIKA EM DE TECIDOS CÓRNEOS DE POTENCIAIS DOADORES"
MERCIA PANDOLFO PROVIN,FACULDADE DE FARMÁCIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03482-2018,20/09/2018,28/04/2023,Ciências da Saúde,Farmácia,,Desenvolvimento e Validação de um instrumento para avaliar o empoderamento do paciente frente a sua segurança referente ao tratamento farmacológico durante a internação
PEDRO HENRIQUE FERRI,INSTITUTO DE QUÍMICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03483-2017,01/06/2017,31/05/2023,Ciências Exatas e da Terra,Química,Química Orgânica,Padrão temporal multivariado nos óleos essenciais e no conteúdo fenólico de frutos do Cerrado
STEPHANIA FLEURY TAVEIRA,FACULDADE DE FARMÁCIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03486-2018,30/11/2018,30/12/2023,Ciências da Saúde,Farmácia,Farmacotecnia,Desenvolvimento de géis supramoleculares para aplicação tópica da Eugenia  uniflora L visando o tratamento de fungos na pele e na unha 
ALESSANDRA OLIVEIRA MACHADO VIEIRA,FACULDADE DE EDUCAÇÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03488-2019,28/02/2019,31/12/2023,Ciências Humanas,Psicologia,Psicologia do Desenvolvimento Humano,A EXPERIENCIA DO CURSINHO POPULAR COMUNIDADE FAZARTE-UFG NA FORMACAO DE PROFESSORES
ESTEBAN NICOLAS LORENZON,UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03490-2019,01/03/2019,01/05/2023,Ciências Biológicas,Bioquímica,Química de Macromoléculas,"Desenho, síntese e avaliação de peptídeos antimicrobianos análogos da Indolicidina. Potencial aplicação como agentes desinfectantes de sêmen bovino"
WAGNER GOUVEA DOS SANTOS,UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03494-2019,08/04/2019,31/12/2023,Ciências Biológicas,Genética,Genética Humana e Médica,DETERMINAÇÃO DE POLIMORFISMOS NO GENE RECEPTOR DE VITAMINA D (VDR) EM LINHAGENS TUMORAIS E AVALIAÇÃO DE SUA INFLUÊNCIA NO EFEITO DA 1 alfa - 25- DIIDROXI-VITAMINA D.
NADIA APARECIDA BERGAMO,INSTITUTO DE CIENCIAS BIOLOGICAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03496-2019,02/04/2019,02/04/2023,Ciências Biológicas,Genética,Genética Humana e Médica,Estudo Genético em Casais com Histórico de Perdas Gestacionais Recorrentes
CALIOPE PILGER,UNID. ACAD. ESP/BIOTECNOLOGIA - CATALAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03501-2019,03/04/2019,31/03/2023,Ciências da Saúde,Saúde Coletiva,Medicina Preventiva,Construção de laços sociais e impacto na saúde e qualidade de vida de idosos
FABIANA RODRIGUES CARRIJO,UNID. ACAD. ESP./EDUCAÇÃO - CATALÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03504-2019,08/06/2019,31/12/2023,"Lingüística, Letras e Artes",Lingüística,Filosofia da Linguagem,"ESCRITA DE SI, MEMÓRIA E SUBJETIVIDADE"
ANACLARA FERREIRA VEIGA TIPPLE,FACULDADE DE ENFERMAGEM,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03512-2013,01/01/2013,31/12/2023,Ciências da Saúde,Enfermagem,Enfermagem de Saúde Pública,A higiene de mãos entre acadêmicos da área da saúde e profissionais da área da saúde 
SOLANGE MARTINS OLIVEIRA MAGALHAES,FACULDADE DE EDUCAÇÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03520-2010,13/12/2010,30/03/2023,Ciências Humanas,Educação,Planejamento e Avaliação Educacional,Redecentro - Rede de Pesquisadores sobre Professores da Região Centro-Oeste
JULIANA MARTINS DE SOUZA,UNID. ACAD. ESP/BIOTECNOLOGIA - CATALAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03522-2019,01/04/2019,01/03/2023,Ciências da Saúde,Enfermagem,Enfermagem Pediátrica,PERFIL DE RESISTÊNCIA A ANTIBIÓTICOS DE BACTÉRIAS  ISOLADAS DE MATERIAL LÚDICO DE  BRINQUEDOTECA HOSPITALAR E UNIVERSITÁRIA
LIOSBER MEDINA GARCIA,FACULDADE DE CIÊNCIAS E TECNOLOGIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03530-2019,29/03/2019,29/03/2023,Engenharias,Engenharia Civil,Infra-Estrutura de Transportes,Análise multi-escala do comportamento de materiais utilizados em obras rodoviarias.
KARLLA ANTONIETA AMORIM CAETANO,FACULDADE DE ENFERMAGEM,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03543-2019,01/01/2019,31/12/2023,Ciências da Saúde,Enfermagem,Enfermagem de Doenças Contagiosas,"População Migrante e Refugiada em Situação de Vulnerabilidade de Goiás:  Epidemiologia das Infecções Sexualmente Transmissíveis, Hepatites Virais, Avaliação das Condições de Saúde e Violência"
LUCIANA BORGES,UNID. ACAD. ESP/LETRAS E LINGUISTICA - CATALAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03548-2019,01/04/2019,31/12/2023,"Lingüística, Letras e Artes",Letras,Literatura Brasileira,FICÇÃO ERÓTICA DE AUTORIA FEMININA:  ANTOLOGIAS DE CONTOS DE ESCRITORAS BRASILEIRAS
ANACLARA FERREIRA VEIGA TIPPLE,FACULDADE DE ENFERMAGEM,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03569-2014,01/04/2014,31/12/2023,Ciências da Saúde,Odontologia,Odontologia Social e Preventiva,COLONIZAÇÃO DA CAVIDADE NASAL DE PROFESSORES E ALUNOS DE ODONTOLOGIA POR MICRO-ORGANISMOS MULTIRRESISTENTES
IDA HELENA CARVALHO FRANCESCANTONIO MENEZES,FACULDADE DE NUTRIÇÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03576-2018,05/11/2018,31/07/2023,Ciências Humanas,Educação,,O COMER INTUITIVO NO COMPORTAMENTO E CONSUMO ALIMENTARES DE INDIVÍDUOS OBESOS CANDIDATOS À CIRURGIA BARIÁTRICA
CARLA GOMES MACHADO,UNID. ACAD. ESP/CIENCIAS AGRARIAS-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03578-2019,01/03/2019,31/08/2023,Ciências Agrárias,Agronomia,Fitotecnia,"QUALIDADE DE SEMENTES, MORFOANATÔMIA DE PLÂNTULAS E TRANSLOCAÇÃO DE RESERVAS DURANTE A GERMINAÇÃO DE CÁRTAMO"
ARIDIANE ALVES RIBEIRO,UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03590-2018,01/11/2018,31/12/2023,Ciências da Saúde,Saúde Coletiva,Saúde Pública,PESQUISA EU QUERO Envolvendo Usuários para Melhorias e Direitos de Qualidade (EU QUERO): Fortalecer o sistema de cuidados de saúde materno-infantil nos primeiros 1000 dias de vida no Brasil
CLARISSA ADJUTO ULHOA,UAE REJ CIÊNCIAS HUMANAS E LETRAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03594-2019,03/04/2019,20/08/2023,Ciências Humanas,História,História do Brasil,As Religiões Afro-brasileiras no Sudoeste Goiano
AGUSTINA ROSA ECHEVERRIA,INSTITUTO DE QUÍMICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03599-2019,01/03/2019,31/12/2023,Ciências Humanas,Educação,Ensino-Aprendizagem,Um estudo sobre a relação entre os motivos e a aprendizagem de Ciências da Natureza na perspectiva da Teoria Histórico-Cultural: focalizando a Radiação Ionizante
MERCIA PANDOLFO PROVIN,FACULDADE DE FARMÁCIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03605-2019,04/03/2019,28/04/2023,Ciências da Saúde,Farmácia,,DESENVOLVIMENTO DE APLICATIVO MÓVEL PARA FACILITAR ACESSO AO MEDICAMENTO NO SISTEMA PÚBLICO DE SAÚDE
JOSE QUERINO TAVARES NETO,FACULDADE DE DIREITO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03612-2019,01/08/2019,31/12/2023,Ciências Sociais Aplicadas,Direito,Direito Público,AS POSSIBILIDADES DE CONSTITUIÇÃO DE UM PODER JUDICIÁRIO SOCIOAMBIENTAL A PARTIR DA TEORIA DE PIERRE BOURDIEU
SERGIO TADEU SIBOV,INSTITUTO DE CIENCIAS BIOLOGICAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03615-2019,01/03/2019,28/02/2023,Ciências Agrárias,Agronomia,Fitotecnia,Uso de biorreatores de imersão temporária para produção de mudas pré-brotadas de cana-de-açúcar
LISBETH OLIVEIRA,FACULDADE DE INFORMAÇÃO E COMUNICAÇÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03621-2019,27/03/2019,31/12/2023,Ciências Sociais Aplicadas,Comunicação,Comunicação Visual,EXPOSICAO: UMA FERRAMENTA DE COMUNICACAO A SERVICO DA SUSTENTABILIDADE
MURILO BORGES SILVA,UAE REJ CIÊNCIAS HUMANAS E LETRAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03628-2019,03/04/2019,03/04/2023,Ciências Humanas,História,História do Brasil,"ESCRAVIDÃO E EMANCIPAÇÃO NO SUDOESTE DE GOIÁS: CONFLITOS, ACORDOS E EXPECTATIVAS "
ANA PAULA DE ARAUJO CHAVES,INSTITUTO DE MATEMÁTICA E ESTATÍSTICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03634-2019,01/05/2019,01/08/2023,Ciências Exatas e da Terra,Matemática,Álgebra,"Equações Diofantinas, Sequências Recorrentes e Teoria Transcendente"
DENIS CASTILHO,INSTITUTO DE ESTUDOS SÓCIO-AMBIENTAIS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03649-2019,01/03/2019,31/12/2023,Ciências Humanas,Geografia,Geografia Humana,A rede rodoviária em Goiás: análise e mapeamento da urbanização e da dinâmica econômica regional entre 1921 e 2018.
ROMES ANTONIO BORGES,UNID. ACAD. ESP/MATEMATICA E TECNOLOGIA - CATALAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03662-2019,01/02/2019,01/09/2023,Engenharias,Engenharia Mecânica,Mecânica dos Sólidos,Modelagem Estocástica e Otimização Robusta de Estruturas Periódicas e Metamateriais em Dinâmica Estrutural
NADIA FELIX FELIPE DA SILVA,INSTITUTO DE INFORMÁTICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03694-2019,04/04/2019,04/04/2023,Ciências Exatas e da Terra,Ciência da Computação,Sistemas de Computação,Aplicação de Técnicas de aprendizado de Máquina e Linguística de Corpus para resolução de problemas em Processamento de Linguagem Natural
RONALDO DA SILVA,UNID. ACAD. ESP/GEOGRAFIA - CATALAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03710-2019,06/04/2019,06/09/2023,Ciências Humanas,Geografia,Geografia Humana,"Política Externa Brasileira, Geopolítica e Desenvolvimento (2016  2023): a direita no poder"
CRISTIANE LOPES SIMAO LEMOS,INSTITUTO DE CIENCIAS BIOLOGICAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03711-2019,31/07/2019,01/08/2023,Ciências Humanas,Educação,Tópicos Específicos de Educação,Metodologias ativas na saúde: uma análise crítica da produção científica da Revista Brasileira de Educação Médica (2001-2019)
DENIS RICHTER,INSTITUTO DE ESTUDOS SÓCIO-AMBIENTAIS,FINALIZADO,PI03815-2019,01/08/2019,31/07/2023,Ciências Humanas,Geografia,,A LINGUAGEM CARTOGRÁFICA NO ENSINO DE GEOGRAFIA: desafios e possibilidades para a formação e ação docente
ANA FLAVIA MACHADO BOTELHO,ESCOLA DE VETERINÁRIA E ZOOTECNIA,FINALIZADO,PI03822-2019,01/05/2019,31/12/2023,Ciências Agrárias,Medicina Veterinária,Clínica e Cirurgia Animal,PLANTAS TÓXICAS DO CERRADO  EXPEDIÇÃO AO SÍTIO HISTÓRICO E PATRIMÔNIO CULTURAL KALUNGA
KEILA MATIDA DE MELO,FACULDADE DE EDUCAÇÃO,FINALIZADO,PI03830-2019,01/08/2019,31/08/2023,Ciências Humanas,Educação,Fundamentos da Educação,Dialogismo e alteridade em Mikhail Bakhtin
MARINA CLARE VINAUD,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03868-2019,01/06/2019,31/12/2023,Ciências Biológicas,Parasitologia,Helmintologia de Parasitos,DETERMINAÇÃO DO IMPACTO METABÓLICO DE DERIVADOS BENZIMIDAZÓLICOS NO METABOLISMO DE CISTICERCOS DE TAENIA CRASSICEPS 
KAYE OLIVEIRA DA SILVA,INSTITUTO DE MATEMÁTICA E ESTATÍSTICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI0388-2015,01/09/2015,01/01/2023,Ciências Exatas e da Terra,Matemática,Análise,Bifurcação e Variedade de Nehari
SERGIO TEIXEIRA DE CARVALHO,INSTITUTO DE INFORMÁTICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03885-2019,24/06/2019,01/10/2023,Ciências Exatas e da Terra,Ciência da Computação,Sistemas de Computação,Aplicação de Técnicas de Computação Ubíqua e Padrões de Informática em Saúde no Contexto do Monitoramento Remoto de Pacientes Domiciliares
KARLA ALCIONE DA SILVA CRUVINEL,ESCOLA DE ENGENHARIA CIVIL E AMBIENTAL,FINALIZADO,PI03892-2019,16/09/2019,29/09/2023,Engenharias,Engenharia Sanitária,Recursos Hídricos,MONITORAMENTO DA QUALIDADE DA ÁGUA DE  CORPOS HÍDRICOS URBANOS DE GOIÂNIA
DANIELI BROLO MARTINS,ESCOLA DE VETERINÁRIA E ZOOTECNIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03923-2019,15/10/2019,30/08/2023,Ciências Agrárias,Medicina Veterinária,Patologia Animal,"Hemogasometria, microbiologia e lactato sérico em cadelas com piometra"
FERNANDA CRISTINA ALCANTARA DOS SANTOS,INSTITUTO DE CIENCIAS BIOLOGICAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03931-2019,01/10/2019,30/04/2023,Ciências Biológicas,Morfologia,Histologia,Efeitos do extrato etanólico do Jambu (Acmella oleracea) na prevenção e tratamento da hiperplasia benigna prostática em ratos SHR
ROSANGELA MARIA RODRIGUES,UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03952-2019,15/10/2019,31/12/2023,Ciências Biológicas,Parasitologia,Protozoologia de Parasitos,"Associação de fatores de riscos para doenças parasitárias intestinais e infecções virais em crianças usuárias de creches do município de Jataí, Goiás"
CAMILA CARDOSO CAIXETA,FACULDADE DE ENFERMAGEM,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03958-2018,01/03/2018,29/12/2023,Ciências da Saúde,Enfermagem,Enfermagem de Saúde Pública,AVALIAÇÃO DA ESTRUTURA E DINÂMICA DE TRABALHO DO CENTRO DE ATENÇÃO PSICOSSOCIAL  CAPS III DE APARECIDA DE GOIÂNIA - GO
CLAUDIO RODRIGUES LELES,FACULDADE DE ODONTOLOGIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03969-2019,01/01/2019,31/07/2023,Ciências da Saúde,Odontologia,Clínica Odontológica,Desenvolvimento de uma estratégia de priorização para reabilitação de pacientes desdentados totais com prótese total convencional no contexto do SUS
RUSVENIA LUIZA BATISTA RODRIGUES DA SILVA,INSTITUTO DE ESTUDOS SÓCIO-AMBIENTAIS,FINALIZADO,PI03986-2019,29/08/2019,09/01/2023,Ciências Humanas,Geografia,Geografia Humana,VEREDAS - Saberes compartilhados na circularidade entre campo e cidade.
KARLA ANNYELLY TEIXEIRA DE OLIVEIRA,INSTITUTO DE ESTUDOS SÓCIO-AMBIENTAIS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03998-2019,01/07/2019,31/01/2023,Ciências Humanas,Geografia,Geografia Humana,Nós Propomos! Goiás: construção do pensamento geográfico e atuação cidadã dos alunos dos anos Finais do Ensino Fundamental
CLAUDIO RODRIGUES LELES,FACULDADE DE ODONTOLOGIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04000-2019,01/11/2019,01/08/2023,Ciências da Saúde,Odontologia,Clínica Odontológica,"Avaliação longitudinal da resposta ao tratamento com próteses totais: efeito de variáveis independentes nos resultados funcionais, clínicos e desfechos reportados pelo paciente"
MARINALDO DIVINO RIBEIRO,PRÓ-REITORIA DE PESQUISA E INOVAÇÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04008-2019,02/01/2019,31/12/2023,Ciências Agrárias,Zootecnia,Nutrição e Alimentação Animal,Estabilidade proteica do leite e resposta produtiva de vacas lactantes suplementadas com diferentes níveis de amido
CLAUDIO RODRIGUES LELES,FACULDADE DE ODONTOLOGIA,FINALIZADO,PI04011-2019,01/10/2019,30/09/2023,Ciências da Saúde,Odontologia,Clínica Odontológica,Mini-implantes de TiZi de corpo único associada a conexão protética miniaturizada e superfície revestida por carbono: um ensaio clínico fatorial randomizado para testar os desfechos do carregamento imediato ou tardio e cirurgia aberta ou sem retalho
VERIDIANA MARIA BRIANEZI DIGNANI DE MOURA,ESCOLA DE VETERINÁRIA E ZOOTECNIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04020-2019,04/11/2019,31/10/2023,Ciências Agrárias,Medicina Veterinária,Patologia Animal,Efeitos da água ozonizada sobre o tumor de ehrlich sólido experimentalmente induzido em camundongos
RUY DE SOUZA LINO JUNIOR,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04024-2019,02/08/2019,31/12/2023,Ciências da Saúde,Medicina,Anatomia Patológica e Patologia Clínica,Efeito do tratamento com hidrogel de ácido hialurônico e prata na cicatrização de queimaduras de espessura parcial infectadas e não infectadas induzidas experimentalmente em camundongos BALB/c
JOSE RODOLFO PACHECO THIESEN,UNID.ACAD.ESP/CIENC SOCIAIS APLIC-GOIAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04029-2019,13/11/2019,15/12/2023,Ciências Sociais Aplicadas,Arquitetura e Urbanismo,Tecnologia de Arquitetura e Urbanismo,TRABALHO E AUTONOMIA NO CANTEIRO DE OBRAS COLONIAL: O caso da Vila Boa de Goiás
ALINE REGINA ALVES MARTINS,FACULDADE DE CIÊNCIAS SOCIAIS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04032-2019,01/08/2019,31/12/2023,Ciências Humanas,Ciência Política,Política Internacional,A internacionalização do renminbi e as possíveis consequências para a hegemonia do dólar na economia global 
CARLOS HENRIQUE XAVIER CUSTODIO,INSTITUTO DE CIENCIAS BIOLOGICAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04043-2019,04/11/2019,31/12/2023,Ciências Biológicas,Fisiologia,Fisiologia de Órgãos e Sistemas,EFEITOS DA INTERVENÇÃO CRÔNICA NO EIXO GRELINA-GHS-R1a SOBRE AS FUNÇÕES AUTONÔMICAS E COMPORTAMENTO EM MODELO DE ANSIEDADE E HIPERTENSÃO PRIMÁRIA
FLAVIO GOMES DE OLIVEIRA,FACULDADE DE ARTES VISUAIS,FINALIZADO,PI04061-2020,02/03/2020,31/03/2023,"Lingüística, Letras e Artes",Artes,Artes do Vídeo,O uso da técnica de animação em stop motion como ferramenta pedagógica
