coordenador_projeto_pesquisa,unidade_coordenador_projeto,status_projeto_pesquisa,codigo_projeto_pesquisa,data_inicio_projeto,data_fim_projeto,grande_area,area,subarea,titulo_projeto_pesquisa
RHONAN FERREIRA DA SILVA,FACULDADE DE ODONTOLOGIA,EM ANDAMENTO (Documentos Conferidos),PI06759-2023,01/02/2023,30/11/2024,Ciências da Saúde,Odontologia,,IMPORTÂNCIA ANATÔMICA E PERICIAL DOS OSSOS SUPRANUMERÁRIOS CRANIANOS 
SANTINHA NEUDA ALVES DO LAGO,FACULDADE DE LETRAS,EM ANDAMENTO (Documentos Conferidos),PI06760-2023,03/05/2023,31/08/2028,"Lingüística, Letras e Artes",Letras,Literaturas Estrangeiras Modernas,A educação em literatura e língua 
CARLOS HENRIQUE DE CASTRO,INSTITUTO DE CIENCIAS BIOLOGICAS,EM ANDAMENTO (Documentos Conferidos),PI06763-2023,01/02/2023,01/02/2028,Ciências Biológicas,Fisiologia,Fisiologia de Órgãos e Sistemas,AVALIAÇÃO DE COMPOSTOS COM POTENCIAL EFEITO TERAPÊUTICO PARA HIPERTENSÃO ARTERIAL PULMONAR
FLAVIA LEME DE ALMEIDA,FACULDADE DE ARTES VISUAIS,EM ANDAMENTO (Documentos Conferidos),PI06767-2023,17/04/2023,15/12/2028,"Lingüística, Letras e Artes",Artes,Artes Plásticas,A cerâmica artística e suas experimentações
RAFAEL MACEDO DIAS,INSTITUTO DE QUÍMICA,EM ANDAMENTO (Documentos Conferidos),PI06768-2023,01/04/2023,01/04/2033,Engenharias,Engenharia Química,Processos Industriais de Engenharia Química,Estudo de equilíbrio de fases envolvendo solventes alternativos e solventes orgânicos tradicionais para desenvolvimento de novas estratégias na indústria química
NADJA SUSANA MOGYCA LEANDRO,ESCOLA DE VETERINÁRIA E ZOOTECNIA,EM ANDAMENTO (Documentos Conferidos),PI06774-2023,06/02/2023,31/12/2025,Ciências Agrárias,Zootecnia,Nutrição e Alimentação Animal,Avaliação de uma fonte vegetal de colina em dietas de frangos de corte
EDER MARQUES,ESCOLA DE AGRONOMIA,EM ANDAMENTO (Documentos Conferidos),PI06775-2023,10/04/2023,10/03/2033,Ciências Agrárias,Agronomia,Fitossanidade,"Diagnose, detecção, distribuição, fatores predisponentes e alternativas manejo de doenças de plantas no Estado de Goiás"
FELIPE NOGUEIRA DA CRUZ,"FACULDADE DE ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E CIÊNCIAS ECONÔMICAS",EM ANDAMENTO (Documentos Conferidos),PI06781-2023,17/04/2023,31/12/2025,Ciências Sociais Aplicadas,Economia,,O Sistema Monetário e Financeiro Internacional Contemporâneo diante do desafio climático
LUAN VINICIUS BERNARDELLI,UNID.ACAD.ESP/CIENC SOCIAIS APLIC-GOIAS,EM ANDAMENTO (Documentos Conferidos),PI06785-2023,24/04/2023,30/12/2025,Ciências Sociais Aplicadas,Economia,Economia dos Recursos Humanos,OS DETERMINANTES DA EVASÃO UNIVERSITÁRIA
MONARKO NUNES DE AZEVEDO,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA,EM ANDAMENTO (Documentos Conferidos),PI06787-2023,15/03/2023,30/04/2025,Ciências da Saúde,Saúde Coletiva,Epidemiologia,Análise interseccional da vulnerabilidade social de pessoas com diferenças no intervalo entre o diagnóstico e o tratamento do câncer de boca
ALVARO FERREIRA JUNIOR,ESCOLA DE VETERINÁRIA E ZOOTECNIA,EM ANDAMENTO (Documentos Conferidos),PI06797-2023,01/05/2023,30/08/2027,Ciências Agrárias,Medicina Veterinária,Medicina Veterinária Preventiva,PESQUISA MICROBIOLÓGICA E MOLECULAR DE SPOROTHRIX PATOGÊNICOS EM SOLOS DE ESPAÇOS PÚBLICOS DA CIDADE DE GOIÂNIA
ANA FLAVIA MACHADO BOTELHO,ESCOLA DE VETERINÁRIA E ZOOTECNIA,EM ANDAMENTO (Documentos Conferidos),PI06798-2023,20/03/2023,30/06/2028,Ciências Agrárias,Medicina Veterinária,Clínica e Cirurgia Animal,"POTENCIAIS TOXICIDADES AGUDA E CRÔNICA DA BEAUVERICINA em girinos de Dendropsophus minutus (Hylidae, Anura)"
LUIS FELIPE KOJIMA HIRANO,FACULDADE DE CIÊNCIAS SOCIAIS,EM ANDAMENTO (Documentos Conferidos),PI06799-2023,03/04/2023,30/03/2026,Ciências Humanas,Antropologia,Teoria Antropológica,"Cartografia da rede de antropologia visual no Brasil: consolidação, acervo e publicização"
ANA CLAUDIA DE LIMA SILVA,ESCOLA DE AGRONOMIA,EM ANDAMENTO,PI06800-2023,01/04/2023,01/04/2028,Ciências Agrárias,Agronomia,Fitotecnia,Tecnologias para o cultivo de milho no Cerrado 
KARINE CAMILA OLIVEIRA,UNID.ACAD.ESP/CIENC SOCIAIS APLIC-GOIAS,EM ANDAMENTO (Documentos Conferidos),PI06801-2023,01/04/2023,01/09/2024,Ciências Sociais Aplicadas,Arquitetura e Urbanismo,Fundamentos de Arquitetura e Urbanismo,ESTADO DE CONSERVAÇÃO DOS BENS IMÓVEIS DO CONJUNTO TOMBADO DE GOIÁS
ANDREA RODRIGUES CHAVES,INSTITUTO DE QUÍMICA,EM ANDAMENTO,PI06808-2023,27/03/2023,25/03/2033,Ciências Exatas e da Terra,Química,Química Analítica,Novas ferramentas analíticas a serviço da segurança e qualidade do leite e derivados lácteos
LEONILDO ALVES FERREIRA,INSTITUTO DE QUÍMICA,EM ANDAMENTO (Documentos Conferidos),PI06810-2023,17/04/2023,16/04/2033,Ciências Exatas e da Terra,Química,Química Inorgânica,Valorização de matérias-primas renováveis via catálise
CARLOS EDUARDO SANCHES DE ANDRADE,FACULDADE DE CIÊNCIAS E TECNOLOGIA,EM ANDAMENTO (Documentos Conferidos),PI06815-2023,01/09/2023,31/08/2026,Engenharias,Engenharia de Transportes,Operações de Transportes,AVALIAÇÃO DAS EMISSÕES DE DIÓXIDO DE CARBONO E POLUENTES ATMOSFÉRICOS DOS SISTEMAS DE TRANSPORTES
